Wall time,Step,Value
1741003041.73581,328,2.7090545700048096e-06
1741003041.7840924,329,4.836600965063553e-06
1741003041.8353412,330,1.09757320387871e-06
1741003041.8786976,331,2.891594704124145e-06
1741003041.9205759,332,1.4185192185323103e-06
1741003041.9734812,333,1.4167985682433937e-06
1741003042.4581249,334,1.2796000419257325e-06
1741003042.5116165,335,2.4011840196180856e-06
1741003042.54524,336,2.2445342438004445e-06
1741003042.5653791,337,3.3736300792952534e-06
1741003042.5942814,338,1.981459263333818e-06
1741003042.6339235,339,2.2895640086062485e-06
1741003042.678979,340,3.905278845195426e-06
1741003042.7205238,341,1.3455476164381253e-06
1741003042.7568145,342,1.2976843208889477e-06
1741003043.2388976,343,2.9177963369875215e-06
1741003043.2836576,344,4.477765287447255e-06
1741003043.3201733,345,5.079567927168682e-06
1741003043.369069,346,3.061959205297171e-06
1741003043.412322,347,1.6173562471522018e-06
1741003043.4596782,348,2.906331701524323e-06
1741003043.5100343,349,1.9259950931882486e-06
1741003043.5624537,350,2.1801463390147546e-06
1741003043.6140141,351,1.562348870720598e-06
1741003044.194036,352,3.567399517123704e-06
1741003044.2340858,353,6.5551698753552046e-06
1741003044.2677772,354,1.8845150862034643e-06
1741003044.3013253,355,3.987385753134731e-06
1741003044.3540018,356,3.219540531063103e-06
1741003044.3986373,357,1.3484077499015257e-06
1741003044.4363685,358,2.095282070513349e-06
1741003044.468354,359,1.403024953106069e-06
1741003044.49976,360,1.5238609876178089e-06
1741003044.914109,361,4.044086381327361e-06
1741003044.9336085,362,1.464590923205833e-06
1741003044.9708734,363,1.7911050917973625e-06
1741003045.0138524,364,3.032284212167724e-06
1741003045.0602388,365,4.057909336552257e-06
1741003045.096972,366,3.457865432210383e-06
1741003045.14038,367,1.7536666518935817e-06
1741003045.1774504,368,2.0850886812695535e-06
1741003045.2101457,369,1.2152469253123854e-06
1741003045.7451465,370,1.8508013681639568e-06
1741003045.7813022,371,1.4423309266931028e-06
1741003045.8154907,372,1.5224447906803107e-06
1741003045.8622425,373,4.868340965913376e-06
1741003045.8979948,374,2.1046475922048558e-06
1741003045.9320905,375,6.362603016896173e-06
1741003045.9728122,376,2.4311887045769254e-06
1741003046.0091097,377,1.9923170384572586e-06
1741003046.0422387,378,1.4637389540439472e-06
1741003046.5489247,379,1.8446218064127606e-06
1741003046.5953815,380,1.378058186674025e-06
1741003046.633167,381,1.1259110124228755e-06
1741003046.6660006,382,2.5614160676923348e-06
1741003046.6947966,383,2.124556431226665e-06
1741003046.721709,384,2.321788770132116e-06
1741003046.7508907,385,1.851215756687452e-06
1741003046.7877653,386,3.892558197549079e-06
1741003046.8204203,387,3.620881443566759e-06
1741003047.2771347,388,1.2938343161295052e-06
1741003047.3116434,389,3.0254138891905313e-06
1741003047.345815,390,2.852252919183229e-06
1741003047.393345,391,1.4342028862301959e-06
1741003047.443051,392,1.5279246099453303e-06
1741003047.481144,393,4.362065737950616e-06
1741003047.5167875,394,1.1439253739808919e-06
1741003047.5529838,395,1.561041790409945e-05
1741003047.594434,396,1.605941520210763e-06
1741003048.0869446,397,1.6257484958259738e-06
1741003048.1215327,398,1.5402367807837436e-06
1741003048.1542504,399,3.843584181595361e-06
1741003048.1881933,400,4.900046860711882e-06
1741003048.2309222,401,1.829833763622446e-06
1741003048.2753408,402,2.2702181468048366e-06
1741003048.328067,403,4.0005743358051404e-06
1741003048.3729107,404,1.7458098682254786e-06
1741003048.4083157,405,4.2910796764772385e-06
1741003049.0821822,406,4.890270247415174e-06
1741003049.1302657,407,1.6869283854248351e-06
1741003049.1794603,408,1.3723308711632853e-06
1741003049.23131,409,2.5301778805442154e-06
1741003049.2664502,410,1.2519874417193932e-06
1741003049.3088374,411,1.0893351145568886e-06
1741003049.3485541,412,2.8778322302969173e-06
1741003049.3911338,413,1.6948679331107996e-06
1741003049.4269774,414,6.00791463511996e-06
1741003049.8247633,415,2.108569105985225e-06
1741003049.8514957,416,9.282141490984941e-07
1741003049.8825777,417,2.493146894266829e-06
1741003049.9169488,418,2.0796012449864065e-06
1741003049.9549646,419,9.248802825823077e-07
1741003049.9889607,420,2.6139639430766692e-06
1741003050.0213945,421,3.2665723210811848e-06
1741003050.0693934,422,2.0472755295486422e-06
1741003050.1184576,423,1.3703909189644037e-06
1741003050.558269,424,1.1619891893133172e-06
1741003050.6006935,425,3.18563547807571e-06
1741003050.636575,426,4.1255161704611965e-06
1741003050.6693132,427,1.594649802427739e-06
1741003050.701374,428,3.1186668820737395e-06
1741003050.7340395,429,1.281365712202387e-06
1741003050.7788575,430,2.6612945021042833e-06
1741003050.8156097,431,1.1456065749371191e-06
1741003050.8504472,432,1.509284174971981e-06
1741003051.3611202,433,2.5914259822457097e-06
1741003051.4084756,434,1.4406966784008546e-06
1741003051.4505463,435,1.5929545043036342e-06
1741003051.4987047,436,3.6967517189623322e-06
1741003051.5291286,437,4.04390129915555e-06
1741003051.5633976,438,1.770232529452187e-06
1741003051.5922213,439,2.4792693693598267e-06
1741003051.6272316,440,1.3607044593300088e-06
1741003051.6654086,441,2.257558890050859e-06
1741003052.091488,442,9.093815265259764e-07
1741003052.118595,443,1.5389869076898322e-06
1741003052.1449509,444,2.1007883788115578e-06
1741003052.184268,445,3.913396994903451e-06
1741003052.2300284,446,1.281658114749007e-06
1741003052.266937,447,1.2095208603568608e-06
1741003052.3003922,448,1.3280720168040716e-06
1741003052.3429115,449,1.383209450978029e-06
1741003052.3933089,450,9.962595868273638e-07
1741003052.9010785,451,3.7501033602893585e-06
1741003052.9409227,452,2.4117064185702475e-06
1741003052.9974275,453,1.1480008197395364e-06
1741003053.0508,454,1.6212438822549302e-06
1741003053.099613,455,1.4682669871035614e-06
1741003053.151316,456,1.5369647599072778e-06
1741003053.1927066,457,2.0295651665946934e-06
1741003053.2258792,458,4.89811191073386e-06
1741003053.2678385,459,2.223061756012612e-06
1741003053.7655995,460,1.5882649222476175e-06
1741003053.8063347,461,2.517541133784107e-06
1741003053.8538792,462,9.311306143899856e-07
1741003053.9123569,463,1.2145125083407038e-06
1741003053.9599495,464,1.2602774859260535e-06
1741003053.9974022,465,3.0157773380778963e-06
1741003054.029987,466,2.752918589976616e-06
1741003054.070253,467,2.1190203369769733e-06
1741003054.105845,468,1.821965042836382e-06
1741003054.6345222,469,1.7179585483972915e-05
1741003054.6540499,470,1.3311157545103924e-06
1741003054.6725934,471,6.271766778809251e-06
1741003054.6909528,472,1.8458772501617204e-06
1741003054.7093263,473,1.9293083823868074e-06
1741003054.7273972,474,2.887077243940439e-06
1741003054.7450323,475,1.413488121215778e-06
1741003054.7628305,476,1.6013270851544803e-06
1741003054.7805772,477,2.4177966224669944e-06
1741003055.1720257,478,7.745229595457204e-06
1741003055.1999323,479,4.1742446228454355e-06
1741003055.231303,480,2.1198904960328946e-06
1741003055.2701228,481,3.0351593522937037e-06
1741003055.3151033,482,1.7224519979208708e-06
1741003055.364436,483,2.3932859676278895e-06
1741003055.4030154,484,1.8956092162625282e-06
1741003055.4463513,485,2.039780156337656e-06
1741003055.4817302,486,1.637705850043858e-06
1741003056.0296519,487,2.822273245328688e-06
1741003056.0735593,488,2.0594550278474344e-06
1741003056.1267612,489,1.345390046481043e-06
1741003056.1816356,490,3.473516244412167e-06
1741003056.2223537,491,4.198417173029156e-06
1741003056.2573695,492,3.1347394724434707e-06
1741003056.29727,493,1.2548235872600344e-06
1741003056.3377843,494,4.499829628912266e-06
1741003056.3727088,495,1.6637508224448538e-06
1741003056.863981,496,2.55184636444028e-06
1741003056.8969193,497,1.5062317970659933e-06
1741003056.9382951,498,2.279875388921937e-06
1741003056.9730456,499,1.366501351185434e-06
